News_ID,Website,Category,Headline,URL,Top_Image,Date,author
7187,times of india,['entertainment'],"Kriti Sanon has the sweetest birthday wish for mother Geeta, calls her 'pillar of strength'",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/kriti-sanon-has-the-sweetest-birthday-wish-for-mother-geeta-calls-her-pillar-of-strength/articleshow/78636059.cms,"https://static.toiimg.com/thumb/msid-78636070,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-328279/78636070.jpg",,[]
7188,times of india,['entertainment'],This video of Sushant Singh Rajput enjoying Kishor Kumar's song takes the internet by a storm,https://timesofindia.indiatimes.com/entertainment/hindi/this-video-of-sushant-singh-rajput-enjoying-kishor-kumars-song-takes-the-internet-by-a-storm/videoshow/78644553.cms,https://timesofindia.indiatimes.com/photo/78644553/size-508769/78644553.jpg,,[]
7189,times of india,['entertainment'],THIS priceless throwback picture of Sridevi and Hrithik Roshan deserves your attention,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/this-priceless-throwback-picture-of-sridevi-and-hrithik-roshan-deserves-your-attention/articleshow/78652715.cms,"https://static.toiimg.com/thumb/msid-78652706,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-309110/78652706.jpg",,[]
7190,times of india,['entertainment'],#MeToo: Payal Ghosh says 'will fight till the end' in her latest video,https://timesofindia.indiatimes.com/entertainment/hindi/metoo-payal-ghosh-says-will-fight-till-the-end-in-her-latest-video/videoshow/78674395.cms,https://timesofindia.indiatimes.com/photo/78674395/size-530026/78674395.jpg,,[]
7191,times of india,['entertainment'],Riteish Deshmukh shares a picture of enjoying a waterfall with his kids,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/riteish-deshmukh-shares-a-picture-of-enjoying-a-waterfall-with-his-kids/articleshow/78671941.cms,"https://static.toiimg.com/thumb/msid-78671969,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-178057/78671969.jpg",,[]
7192,times of india,['entertainment'],"Katrina Kaif shares a sweet birthday post for Zoya Akhtar, calls her “Super supportive soul sister and friend”",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/katrina-kaif-shares-a-sweet-birthday-post-for-zoya-akhtar-calls-her-super-supportive-soul-sister-and-friend/articleshow/78657183.cms,"https://static.toiimg.com/thumb/msid-78657183,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-168854/78657183.jpg",,[]
7193,times of india,['entertainment'],Throwback Thursday: When Akshay Kumar revealed his worst habit as a husband,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/throwback-thursday-when-akshay-kumar-revealed-his-worst-habit-as-a-husband/articleshow/78676308.cms,"https://static.toiimg.com/thumb/msid-78676308,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-699631/78676308.jpg",,[]
7194,times of india,['entertainment'],"The Pickup Artist Movie: Showtimes, Review, Songs, Trailer, Posters, News & Videos",https://timesofindia.indiatimes.com/entertainment/hindi/movie-details/the-pickup-artist/movieshow/78680188.cms,https://static.toiimg.com/photo/msid-78680188/78680188.jpg?25708,,[]
7195,times of india,['entertainment'],"Salman Khan clears medical bills of ailing actor Faraaz Khan, Kashmera Shah calls him the 'most genuine person'",https://timesofindia.indiatimes.com/entertainment/hindi/salman-khan-clears-medical-bills-of-ailing-actor-faraaz-khan-kashmera-shah-calls-him-the-most-genuine-person/videoshow/78674975.cms,https://timesofindia.indiatimes.com/photo/78674975/size-604017/78674975.jpg,,[]
7196,times of india,['entertainment'],"Kangana Ranaut enjoys a hearty meal, says ‘weight loss mein saza hai’",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/kangana-ranaut-enjoys-a-hearty-meal-says-weight-loss-mein-saza-hai/articleshow/78673455.cms,"https://static.toiimg.com/thumb/msid-78673445,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-945817/78673445.jpg",,[]
